Question,Option_A,Option_B,Option_C,Option_D,Option_E,Correct_Answer,Explanation,Domain
" Test-retest reliability coefficients for the A-Trait Scale of the STAI are ________, indicating ________ stability when compared to the test-retest reliability coefficients of the A-State Scale. "," Higher, more "," Higher, less "," Lower, more "," Lower, less ", None of the above , A ," A is the correct answer. Across personality psychology, trait-based constructs tend towards higher reliability, and the higher reliability indicates higher stability of the construct. B is incorrect. Although trait-based constructs tend towards higher reliability, the enhanced test-retest reliability indicates greater rather than a lesser amount of stability. C is incorrect. The manual for the STAI indicates test-retest reliability coefficients in the range of .71–.86 for the A-Trait scale and .27–.54 for the A-State scale, although this does indicate higher stability for the A-Trait construct. D is incorrect. The manual for the STAI indicates test-retest reliability coefficients in the range of .71–.86 for the A-Trait scale and .27–.54 for the A-State scale, which indicates higher stability for the A-Trait construct. E is incorrect. ", Assessment 
" Andrew is a gifted child. From an early age of 3 years, he was able to reason abstractly, think metaphorically, and he showed insight on social and moral issues. He is now about to enter high school, and his parents want to strengthen his cognitive talents through a specific gifted and talented program. The psychologist decides to administer the SB5 to inform intervention options. Which of the following is not one of the main benefits of administering the SB5 over other intelligence tests? "," The FSIQ obtained from the SB5 measures the general ability to reason, solve problems, and adapt to the environment. It reflects five major facets of intelligence, including reasoning, stored information, memory, visualisation, and the ability to solve novel problems. ", The SB5 is appealing and engaging to gifted children. , Clinicians who administer the SB5 can make their own judgements when scoring and interpreting the results of a gifted child. , The SB5 has continued the Binet tradition of being largely untimed. ," The SB5 provides a quick and easy measure of intelligence, especially if the ABIQ is administered to the gifted child, taking less than 20 minutes to complete. ", E ," A is correct. Factor analysis of the SB5 suggests that it does measure the five factors it was designed to measure, including those predictive of school achievement and those generally recognised by experts in giftedness as key elements of higher-order thinking and general reasoning. B is correct. There are many gifted children who present challenges in testing and examiners need to remain flexible and responsive to varying situations. Gifted children usually remain focused and catch on easily to instructions. They tend to give creative, often divergent answers that show their ability to make connections between ideas. Gifted children especially enjoy the interactive and kinaesthetic nature of the nonverbal tasks on the SB5. C is correct. The SB5 allows for flexibility in considering alternate ways to score the test when young children perform at a level far above age expectations. D is correct. Only a few timed items remain in the SB5. Gifted children can become energised by the unusual intellectual challenge and the SB5 accommodates the creative element by not imposing strict time limits on the tasks. E is incorrect. Thus, this is the correct answer to this question as you were asked to identify which is not one of the main benefits. Most intelligence tests take about 1 hour to administer, on average. The ABIQ wouldn’t be administered to a gifted child because the clinician needs to remain flexible for new situations and select those tasks that best measure the abilities of the specific gifted child on the day. The results of the FSIQ can then inform an intervention program that best supports the gifted child’s cognitive, social, and emotional needs. ", Assessment 
" You have assessed a 10-year-old boy. He lives with his urban Aboriginal family, and his mother has completed the Strengths and Difficulties Questionnaire. The scores indicate emotional and behavioural problems on the peer problems and conduct problems scales. From your reading on the validity of the SDQ with urban Aboriginal children, you conclude that: ", This boy is likely to be experiencing a broad range of emotional and behavioural problems. , The SDQ is not valid with urban Aboriginal children and should not have been administered. ," This boy is likely to be experiencing clinically significant conduct problems, but the peer problems scale needs to be interpreted with caution as family relationships are considered a more important indicator of mental health than peer relations. ", The most significant problem for this boy is likely to be peer relationships. Friendship is a key area contributing to mental health in Aboriginal children. ," The boy has major behavioural problems, and the next steps should include working closely with the boy to better support him. ", C ," A is not the most appropriate response. This boy was only rated as having difficulties on 2 of the 4 problem scales. B is not the most appropriate response; the SDQ has demonstrated adequate validity with urban Aboriginal children. C is the most appropriate response. Research with urban Aboriginal families suggests that the peer problems scale is not likely to be a good indicator of emotional and behavioural problems for the parent completed SDQ, as family relationships are more central to mental health functioning. D is not the most appropriate response: This was not a finding from research with the SDQ and mental health in urban Aboriginal children. E is not the most appropriate response. Although the boy does appear to have some emotional and behavioural issues, there is little evidence they are major and the most appropriate next step would involve working closely with the parents to better understand the potential for conduct and peer problems. ", Assessment 
" You have been seeing a 45-year-old man who has worked as a builder for 23 years. He sustained a severe back injury from a site accident 2 years ago and has been on a disability support pension since that time. He is looking for a career change and wants to explore his options. He is considering teaching, social work, and graphic design. His highest SII scores for the General Occupational Themes (GOTs) were for Social, Investigative, and Realistic, and his highest Basic Interest Scale scores were for Teaching and Education, Mathematics, and Mechanics and Construction. His Personal Style Scale (PSS) scores demonstrated clear preferences for working with people and learning in a practical setting. What would be the next appropriate step? ", Encourage your client to use his extensive knowledge of building to pursue a career as a building inspector. ," Provide the client with a list of all of the Social, Investigative, and Realistic occupations to choose from. ", Help the client to choose an appropriate university degree program. ," Work with the client to understand his SII scores, to identify other significant influences on his career choice and decision-making, and to research occupations that align with his interests, with due consideration to the other important influencing factors identified by the client. ", Help the client to select an appropriate career that doesn’t involve university studies. , D ," A is not the most appropriate response. It does not take into consideration the client’s SII assessment results, his expressed areas of interest, his capacity to undertake some of the tasks required for this particular occupation, or other significant influences on his career choices and decision-making. B is not the most appropriate response. The client’s scores on the SII Occupation Scales provide a more specific range of occupations aligned with his strongest interest areas that he could explore. C is not the most appropriate response. Some of the client’s occupational options may not require a university degree. D is the most appropriate response. It is important to ensure that the client understands what his scores mean and to identify other important influences. Career interests are typically not the only consideration when making career decisions. E is not the most appropriate response. The client may have an interest in a career that requires a university degree, and this should be considered as a potential pathway in his informed career decision making. ", Assessment 
 A psychologist draws a random sample of 50 clients from a population list of 500 current clients of your health clinic. The psychologist then randomly assigns 25 of these clients to get some new additional treatment and the other 25 to be controls. __________ has implications for internal validity and __________ has implications for external validity. ," Causality, generalisability "," Random selection, random assignment "," Random assignment, random selection "," Reliability, representative sample "," Representative sample, cultural bias ", C ," A is not the most appropriate response. Causality refers to the relation between a set of factors (causes) and an event (the effect), where the first event is thought to cause the second event. Generalisability describes the extent to which research results can be applied to individuals or situations beyond those examined in the study. B is not the most appropriate response. Random selection refers to how you draw the sample of people for your study from the population as a whole and is therefore relevant to external validity. Random assignment refers to how you assign the sample to the different groups or treatments in your study and is therefore relevant to internal validity. C is the appropriate response. Random assignment is relevant to internal validity because it looks at the design of your research and the equivalence of experimental groups prior to treatment on measured and unmeasured covariates. Random selection is relevant to external validity because a representative sample strengthens generalisability of findings to the population of interest. D is not the most appropriate response. Reliability refers to consistency of test scores. However, a representative sample does have implications for external validity because the more representative the sample, the more likely you can generalise your findings to the population of interest. E is not the most appropriate response. A representative sample does have implications for external validity because the more representative the sample, the more likely you can generalise your findings to the population of interest. Cultural bias is evident in testing if the test scores of people from one group are significantly different due to cultural differences. ", Assessment 
" A 30-year-old woman was referred by her GP due to anxiety and difficulties at her work, but has trouble getting to sessions. After interview and screening tests, you decide to administer the WASI-II due to time constraints, which takes 30 minutes. Her results indicate a FSIQ-2 score of 147. What is the most appropriate next step? "," Write to GP and her workplace, with her permission, outlining her high IQ and need for greater stimulation in her role. ", Write an assessment report including her FSIQ-2 results with recommendations for her workplace and complete a WIAT-III to test her level of Achievement. ," Complete an assessment report including FSIQ-4 results, percentile, and Strengths and Weaknesses and recommendations for therapy with an anxious, low-functioning client. ", Conduct the remaining test items in the WAIS-IV to get a more comprehensive assessment of her cognitive ability. , Administer the full WAIS-IV to her so that you have a more comprehensive stand-alone measure of her IQ. , D ," A is not the most appropriate response. The WASI-II provides an estimate only of cognitive capacity and cannot be used for definitive diagnosis of intellectual ability. It is also not designed to inform education/work support decisions. Because it is brief, clinical accuracy is reduced. B is not the most appropriate response. The WASI-II provides an estimate only of cognitive capacity and is not designed for education/work support decisions. Because it is brief, clinical accuracy is reduced. C is not the most appropriate response. While a more complete picture from the WASI-II results is useful for forming therapeutic intervention, there are no indications of low functioning. D is the most appropriate response. The WASI-II provides an estimate of cognitive capacity only and a more comprehensive picture from the WAIS-IV of her strengths, and weaknesses, may be used to further inform GP and workplace support recommendations if required and wanted by the client, and assist with therapeutic intervention planning. As the WASI-II subtests may be used to substitute the corresponding WAIS-IV subtests, only those which do not correspond with the WASI-II need to be administered. E is not the most appropriate response. A comprehensive picture of her strengths and weaknesses from the WAIS-IV may be useful to further inform GP and workplace support recommendations and therapeutic intervention. However, the full WAIS-IV does not need to be administered (unless using the first version of the WASI). Only the subtests which do not correspond with the WASI-II need to be administered, as the WASI-II subtests can be used to substitute WAIS-IV corresponding subtests. ", Assessment 
" A client is ruminating over how much of a “klutz” they are as they tripped over a curb during their first run with a new fitness group. The client bruised their knee but no permanent damage was done. The psychologist reviews the situation with the client and notes that the client describes the event as happening after they worked a 12-hour day and did not sleep well the night before. The psychologist is questioning and discussing the situation with the client to gain additional details of the event and situation. In this focus, the psychologist is attempting to: "," Reframe the situation, so the client sees their tripping as due to their tiredness versus their being a “klutz” through guided discovery. ", De-personalise and reattribute the cause of the trip to it being dark and hard to see through guided discovery. , Explore how the client has come to self-define themselves as a “klutz.” , Attempting to moderate the client’s response to tripping by noting the lack of significant consequence to tripping and in essence de-catastrophising the event. , Identify the schemas on which the client has based their attribution of their accident. , A ," A is the most appropriate response. The psychologist is exploring the event with a focus on the client’s internal attribution, but instead of shifting the attribution to an external one, the psychologist is attempting to help the client see the “trip” as possible evidence of their being tired versus being a “klutz.” Thus, while this approach continues a focus on internal attribution the guided discovery is focused on a less “global” and more changeable attribution. B is not the most appropriate response. This option does not include the internal attributions that are changeable and factors in the behaviour and reframing focus. C is not the most appropriate response. As the focus is on reframing the definition, focusing on the less global and more changeable attributions is more appropriate. D is not the most appropriate response. De-catastrophising the event will most likely leave the client with solely an internal attribution, whilst a reframing focus with guided discovery allows a less global and more changeable attribution of the event. E is not the most appropriate response. Although reframing the event continues a focus on internal attribution the guided discovery is focused on a less “global” and more changeable attribution, which would be more appropriate than focusing on client schemas. ", Intervention 
" A psychologist and client have been working together for 3 months, and during their fifth session, the psychologist has forgotten to turn off his mobile phone. Additionally, the psychologist has not turned off his laptop computer nor turned off the sound on the computer. As a result, the therapy session is disrupted by both a phone call and multiple email notifications before the therapist apologises and turns off all his personal electronic devises. Nevertheless, the client feels as though she is not being attended to appropriately as it reminds her of how she was “brushed aside” by her parents as a teenager when they had to go to work. This is an example of: ", Therapeutic rupture , Inappropriate attending on the part of the therapist , Client resistance , Client re-enactment , Client projection , B ," A is not the most appropriate response. While it would have been better for the psychologist to have turned off their electronic devices prior to the session starting, after a therapeutic relationship has developed, it would generally take more than a phone ringing to rupture this relationship. B is the most appropriate response. While it would have been better for the psychologist to have turned off his electronic devices prior to the session starting, after a therapeutic relationship has developed it would generally take more than a phone ringing to disrupt a focused session, and would be therefore inappropriate attending by the therapist. C is not the most appropriate response. The upset of the client in this case relates to the connection the event has in her own mind with her hurts in the past. D is not the most appropriate response. The upset of the client in this case relates to the connection the event has in her own mind with her hurts in the past. E is not the most appropriate response. The upset of the client in this case relates to the connection the event has in her own mind with her hurts in the past. ", Intervention 
" A therapeutic relationship, or alliance, can be disrupted in a number of ways. If a specific client continuously attends sessions, but without having completed his or her assigned “homework” involving a thought record or an emotional response log, this is likely a sign of: ", Therapeutic rupture , Client resistance , Client re-enactment , Client ambivalence ," Indication that with this client a pure behavioural approach will be best used, as the client is not interested in identifying their thoughts or feelings as evidenced by his or her lack of compliance with homework tasks. ", B ," A is not the most appropriate response. The most common difficulty found within a therapeutic relationship is client resistance or ambivalence. Clients often have a desire to change but also resistance to change. B is the most appropriate response. The most common difficulty found within a therapeutic relationship is client resistance or ambivalence. Clients often have a desire to change but also resistance to change. This can include a reactance to one’s personal freedom being seemingly threatened, reluctance, and ambivalence all serving to “slow” the progress made in therapy. The preferred method for dealing with resistance is to openly and gently discuss the issues in the therapeutic relationship. C is not the most appropriate response. Although the described scenario may be the client re-enacting things from their past, client resistance or ambivalence would be more appropriate as it is the most common difficulty found within a therapeutic relationship. D is not the most appropriate response. The most common difficulty found within a therapeutic relationship is client resistance or ambivalence. Clients often have a desire to change but also resistance to change. E is not the most appropriate response. The therapeutic approach may need to be reviewed with the client, however identifying the client resistance to change first, and then openly and gently discussing the issues in the therapeutic relationship would be most appropriate. ", Intervention 
 Case formulation or conceptualisation involves: , Conceptualising and discerning what the client’s core difficulties involve , Different foci depending on the theoretical approach used ," Designing an appropriate treatment, which tends to result in better client outcomes ", B and C ," A, B, and C ", E ," A is not the most appropriate response. Case conceptualisation also involves different foci depending on the theoretical approach used and designing an appropriate treatment. B is not the most appropriate response. Case conceptualisation also involves conceptualising and discerning what the client’s core difficulties involve and designing an appropriate treatment. C is not the most appropriate response. Case conceptualisation also involves conceptualising and discerning what the client’s core difficulties involve and different foci depending on the theoretical approach used. D is not the most appropriate response. Case conceptualisation also involves conceptualising and discerning what the client’s core difficulties involve. E is the most appropriate response. Case conceptualisation or formulation is important for identifying client care difficulties, will include different specifics based on the theory used, and is employed in treatment design and application. ", Intervention 
" In their first meeting, the client discusses with the psychologist his depressive symptoms and shares his belief that he is simply weak and personally lacking in coping ability, the economy is too slow to allow him any significant career progress, and he cannot see this situation changing any time soon given the state of the global economy. Which of the following approaches would best target the difficulties presented by the client? "," A cognitive focus reviewing the client’s distorted thoughts, maladaptive assumptions, and then dysfunctional schemas. ", A supportive purely relational approach so he does not feel alone in his situation; after all the economy is not doing well and it is difficult to find work. , A supportive atmosphere in which thoughtful questioning helps the client examine and then test his beliefs that could eventually be modified to be more adaptive. , A problem-solving approach involving a review of the client’s resume and work behaviours to help with career progression. , A mixture of both a supportive relational and problem-solving approach so the client does not feel alone in his situation and receives help with his career progression. , A ," A is the most appropriate response. The client in this example is presenting with cognitions reminiscent of the negative triad (view of self, world, future). The general steps involved in cognitive therapy include creating a supportive atmosphere, examining beliefs via Socratic dialogue, a testing of beliefs and assumptions, and then modifying assumptions via a guided discovery progress as many items may be outside of the client’s awareness. B is not the most appropriate response. As the client in this example is presenting with cognitions reminiscent of the negative triad, then a cognitive focus would be most appropriate. A purely supportive relational approach would not be adequate. C is not the most appropriate response. Many items may be outside of the client’s awareness, therefore the therapist needs to provide these things in a guided discovery process. D is not the most appropriate response. As the client in this example is presenting with cognitions reminiscent of the negative triad, then a cognitive focus would be most appropriate. E is not the most appropriate response. As the client in this example is presenting with cognitions reminiscent of the negative triad, then a cognitive focus would be most appropriate. ", Intervention 
" Termination refers to the process ending psychological services. Services can be ended in a more abrupt or rapid manner. Services can also be ended in a more gradual manner by, for example, extending the amount of time between sessions and discussing saying good-bye and ending services over the last few meetings. Which is true for the termination of psychological services? ", Termination is best when not abrupt as it can help consolidate treatment gains and troubleshoot likely future obstacles. , Clients will often cancel their last session because they do not wish to say good-bye. , A and B. ," Clients will often avoid therapy endings by bringing up new issues for discussion in therapy, and thus termination is best when more rapid to avoid this bid to continue services. ", It is best to inform the referring doctor prior to commencing termination. , C ," A is not the most appropriate response. Although termination is best when not abrupt as it can help consolidate treatment gains and troubleshoot likely future obstacles, clients will often cancel their last session because they do not wish to say good-bye. B is not the most appropriate response. C is the most appropriate response. If one plans for termination at the start of therapy, the nature of saying good-bye with clients can be managed for client benefit. This can include a consolidation of gains made in therapy, problem-solving difficulties that occur, and directly addressing good-bye events. D is not the most appropriate response. If one plans for termination at the start of therapy the nature of saying good-bye with clients can be managed for client benefit. E is not the most appropriate response. Communicating to a referring doctor when treatment has concluded is not always necessary prior to doing so. ", Intervention 
" As a psychologist in rural practice, you are referred a client who reports problems with forgetfulness. Before referring on to a clinical neuropsychologist in the city you elect to conduct an initial screening assessment. Your best option is to administer: ", The full Wechsler Memory Scale – Fourth Edition (WMS-IV). , Those WMS-IV subtests that appear most relevant to the client’s concerns. , A brief memory battery like the WMS-IV Brief Cognitive Status Exam. , A standardised self-report questionnaire concerning memory functioning. ," The full WAIS-IV to get an indication of overall intellectual capability, including working memory capacity. ", C ," A is not the most appropriate response. To avoid practice effects which may influence or confound the neuropsychological assessment, the WMS-IV should not be used as a preliminary screen, as a whole or in part. B is not the most appropriate response. The WMS-IV should not be used as a preliminary screen, as a whole or in part. C is the most appropriate response. For screening purposes, the WMS-IV Brief Cognitive Status Exam (BCSE) or other brief neuropsychological batteries like the RBANS are appropriate. D is not the most appropriate response. Although standardised self-report questionnaires provide useful information about clients’ perceptions of their memory problems, they do not correlate highly with objective tests of memory functioning and thus cannot be used as a screen. E is not the most appropriate response. Although it is useful to compare results on the WAIS-IV with the WMS-IV for a more comprehensive assessment of cognitive functioning, this is not the preferred option as the WMS-IV BCSE can be easily and quickly administered to the client to screen for memory problems. ", Assessment 
" You were referred a 4-year-old girl for assessment of her intellectual functioning. Childcare staff have suggested to her parents that she may be gifted. You assess her using the WPPSI-IV. Her scores on all Index scores are in the Average and High Average range for her age and her Full Scale IQ is in the Average range. Her parents are disappointed by these results and take her to another psychologist, who repeats the WPPSI-IV 2 weeks later not having been told about your assessment. The new report shows the girl’s abilities are higher on all scales with her Full Scale IQ in the High Average range. What is the most likely explanation for these higher scores? ", The child may have been more comfortable with the second psychologist. , The test is not reliable in 4-year-olds and so a problem with test-retest reliability is the most likely explanation. , The child likely performed better due to a practice effect. , The child is likely to have benefited from coaching from her parents after reading your report that described the abilities the test assesses. , The child has an exceptional memory. , C ," A is not the most appropriate response. Although the child may have been more comfortable with the second psychologist, this is not the most likely explanation for the difference in scores, assuming that you considered that your rapport with the child was sufficient for a valid assessment. B is not the most appropriate response. Although test-retest reliability is higher for older children compared with younger children, test-retest reliability for the WPPSI is still acceptable and is not the most likely explanation. C is most appropriate response. Children score higher on this test when it is re-administered within a short period of time. The second assessment is not likely to be valid as a result. D is not the most appropriate response. Your report should not have had sufficient detail about test items to enable parents to coach children to perform better on a subsequent testing. E is not the most appropriate response. There is no evidence that the child has an exceptional memory, although it is likely that she would have remembered some of the items and became more familiar with the testing process the second time round. ", Assessment 
" When discussing open and closed questions, it is important to note: ", Open questions are better as they are likely to encourage client talk. , Closed questions are better as they are likely to provide specific information. , The questions asked need to be purposeful and lead to a greater understanding of the client. , Preparing questions in advance of the treatment session will ensure the correct questions are always asked. , Questions should be avoided as they can make a client feel interrogated. , C ," A is not the most appropriate response. Both open and closed questions are appropriate given the intention of the psychologist involved. B is not the most appropriate response. Both open and closed questions are appropriate given the intention of the psychologist involved. C is the most appropriate response. Questioning is a valid psychological tool for gaining client information. Both open and closed questions are appropriate given the intention of the psychologist involved. Questions are not asked out of mere curiosity. D is not the most appropriate response. Questions asked need to be purposeful and lead to a greater understanding of the client, therefore preparing questions may not always be helpful or situationally responsive to the needs of the client. E is not the most appropriate response. Although overused questioning can lead a client to feel interrogated, avoiding questions altogether will not aid the psychologist in gaining needed information about the client. ", Intervention 
 A client is discussing a very disturbing emotional event with a psychologist. The client is highly emotive. Which of the following are likely to assist with the regulation of emotion? , Labelling the emotion , Refocusing client attention relating to the event on the more neutral aspects of the event , Direct the client to break from discussing the event until the emotion settles , Focus on solving the problem confronting the client , A and B , E ," A is not the most appropriate response. Labelling of the emotion will assist in the regulation of the emotion; however, refocusing client attention relating to the event on the more neutral aspects of the event will also assist in this. B is not the most appropriate response. Although refocusing client attention relating to the event on the more neutral aspects of the event will assist in the regulation of the emotion, labelling of the emotion will assist in this. C is not the most appropriate response. Although breaking from discussing the event until the emotion settles may assist short-term, it is not an effective strategy to assist in emotional regulation. D is not the most appropriate response. Cognitive emotional regulation strategies do not include problem-solving focuses. E is the most appropriate response. Cognitive emotional regulation strategies include emotional labelling, distraction of attention (internal and external) to more neutral or positive aspects of a situation, and reappraisal of meaning via language, for example, saying something is more challenging versus troublesome. ", Intervention 
" A client is ruminating over how much of a “klutz” they are as they tripped over a curb during their first run with a new fitness group. The client bruised their knee but no permanent damage was done. The psychologist reviews the situation with the client and notes that the client describes the event as happening at dusk when it was thus becoming dark and harder to see. The psychologist is questioning and discussing the situation with the client to gain additional details of the event and situation. In this focus, the psychologist is attempting to: "," Reframe the situation, so the client sees their tripping as due to their tiredness versus their being a “klutz” through guided discovery. ", De-personalise and reattribute the cause of the trip to it being dark and hard to see through guided discovery. , Explore how the client has come to self-define themselves as a “klutz.” , Attempting to moderate the client’s response to tripping by noting the lack of significant consequence to tripping and in essence de-catastrophising the event. , Identify the schemas on which the client has based their attribution of their accident. , B , A is not the most appropriate response. Reframing the situation to attribute the cause of the accident to the client’s tiredness still leaves the client with an internal attribution as opposed to the more appropriate external attribution. B is the most appropriate response. The psychologist is exploring the event with a focus on personalisation and attempting to help the client reattribute the cause of the trip from being a “klutz” to it being dark and therefore from an internal attribution to an external attribution. C is not the most appropriate response. A personalisation focus that leads to a reattribution from internal to external factors would be more appropriate than an exploration of origins of self-definitions. D is not the most appropriate response. De-catastrophising the event may be helpful but would leave the client with the internal attribution of the event as opposed to the external factors. E is not the most appropriate response. Depersonalising the event and re-attributing the contributing factors from internal to external is most appropriate as opposed to a focus on schemas. , Intervention 
 Which of the following is an example of chain analysis? ," A client is engaging in psychological support to aid in their management of diabetes. In discussion with their psychologist, a client notes and has reflected back to them that the day before they were feeling low after having a disagreement with their partner, a mistake they made at work was pointed out to them by a colleague, they thought to themselves “I am no good at anything,” felt depressed and tired, and went home with a headache and spent the rest of the day viewing “junk” television and eating “junk” food and as a result feels even worse and has experienced a dramatic increase in blood sugar levels. "," In discussion with their psychologist, a client notes that when their boss calls a review meeting, they feel scared because at every review meeting the boss has held there has always been either a reduction in paid working hours for staff or staff redundancies. "," In discussion with a psychologist, a parent identifies that when they are especially tired, they “give in” to their child’s demands to stay up past their bedtime and that leads to their both being more tired the next day. ", A and C , A and B , A ," A is the most appropriate response. A full chain analysis includes vulnerability factors; activating events; thoughts, feelings, and behaviours; as well as responses in a timeline fashion relating to a specific event. B is not the most appropriate response. A full chain analysis also needs to include behaviours and responses in a timeline fashion relating to a specific event. C is not the most appropriate response. A full chain analysis also needs to include thoughts and feelings in a timeline fashion relating to the specific event. D is not the most appropriate response. Although option A is an example of a full chain analysis, option C is not an example of a chain analysis as it does not include thoughts and feelings of the client. E is not the most appropriate response. Although option A is an example of a full chain analysis, option B is not an example of a chain analysis as it does not include behaviours of the client. ", Intervention 
 Which of the following would be considered behavioural experiments? , Asking a client to “not think” of a specific event at 9 am and 9 pm every day for a week , Asking a client who is engaging in “counting by twos” as a safety behaviour to forgo engaging in the behaviour on Tuesdays and Thursdays to see the result , Asking a client who is concerned about becoming bald to identify how many bald people he sees in a week , All of the above , Only A and C , D ," A is not the most appropriate response. Choices B and C are also examples of behavioural experiments. B is not the most appropriate response. Choices A and C are also examples of behavioural experiments. C is not the most appropriate response. D is the most appropriate response. A behavioural experiment is any planned event, usually homework, that helps a client explore the validity of a belief or test out a new belief. In choice A, the client would discover “not thinking” equates to thinking about something. In choice B, the client will experience the impact of not engaging in a safety behaviour (i.e., anxiety and that they can survive anxiety and that the “feared event” was not actually minimised or avoided by said safety behaviour). In choice C, the client ascertains the likelihood of baldness and if this is “awful” can also examine the nature of the emotional presentation they see present in “bald” people. E Is not the most appropriate response. Choice B is also an example of a behavioural experiment. ", Intervention 
" A client has had a finger amputated after it was crushed in an industrial accident. Although they have recovered physically from the accident they are finding being in the workplace, being around machinery related to the accident, thinking about the accident, and seeing the result of the accident (their hand with finger stump) anxiety provoking and are avoiding all accident related items. The client notes that viewing their hand with finger stump has a SUD of 60 and hearing the sound of the machinery associated with the accident has a SUD of 90 and touching the machinery associated with the accident has a SUD of 100. Which of the following is not true in relation to exposure treatment? ", In vivo exposure tends to be more effective than imaginal. , One would expose the client to the highest level of SUD listed by the client first while preventing escape and providing emotional support so as to extinguish and habituate the client. , Clients need to repeat exposure experiences on their own as homework in addition to in-session exposure experiences. , The client would be exposed to the lowest level of SUD until their anxiety has reduced. , A and D , B , A is not the most appropriate response. In vivo exposure does in fact tend to be more effective than imaginal. B is the most appropriate response. Exposure or prolonged exposure treatment involves the systematic exposure to fear objects or situations so that a pathological fear structure is corrected and avoidance ended. C is not the most appropriate response. Clients do need to repeat exposure experiences on their own as homework in addition to in session exposure experiences. D is not the most appropriate response. In therapy one begins working with the low/moderate SUDS ratings and moves their way up to the greater level SUDS ratings. In this way one’s self-efficacy is bolstered through success. E is not the most appropriate response. Both options A and D are true in relation to exposure treatment. , Intervention 
 A client notes in session with their psychologist that they are having difficulty moderating their alcohol consumption. The client states they think they have an “addictive personality” and that is why it is so difficult for them to cut down or quit drinking like “everyone” wants them to do. Choose the most appropriate response: , Discuss with the client the pros and cons of quitting drinking versus not quitting drinking. , Review with the client the evidence for or against the notion of an addictive personality. , Explore with the client their own “wants” relating to their alcohol consumption. , Problem solve the “danger” situations that are negatively impacting moderation. , Review recommended levels of safe alcohol consumption and establish a gradual reduction strategy with the client. , C ," A is not the most appropriate response. Motivational Interviewing approaches note that exploring and engaging the client’s own motivation is more helpful than focusing upon external sources of motivation regarding increasing one’s commitment to change. B is not the most appropriate response. While the existence of an “addictive” personality is not supported, discussing same in a supportive or negating manner is not therapeutic. C is the most appropriate response. Any type of SNAP (smoking, nutrition, alcohol, and physical activity) change is likely to involve some ambivalence. Motivational Interviewing approaches note that exploring and engaging the client’s own motivation is more helpful than focusing upon external sources of motivation regarding increasing one’s commitment to change. D is not the most appropriate response. Although problem solving “danger” situations would be helpful, exploring and engaging the client’s motivation to change first would be most appropriate. E is not the most appropriate response. External sources of motivation regarding increasing one’s commitment to change are less helpful than exploring and engaging the client’s own internal motivation for change. ", Intervention 
 Behaviour can be reinforced in a number of ways. Reinforcements can include and be presented in all the following ways except: , Internal and external , Basic and advanced , Continuous and intermittent , Interval and ratio , Primary and secondary , B , A is incorrect. Internal and external are reinforcers of behaviour. B is correct. Basic and advanced are not reinforcements of behaviour. C is incorrect. Continuous and intermittent are reinforcers of behaviour. D is incorrect. Interval and ratio are reinforcers of behaviour. E is incorrect. Primary and secondary are reinforcers of behaviour. , Intervention 
 What is true regarding psychoeducation relating to psychological illness? , Psychoeducation involves the presentation of information about particular client-relevant topics or illnesses. , Psychoeducation involves the presentation of various techniques that can be used to control symptoms and manage various psychological conditions relevant to particular client topics or illnesses. , Can be simply accessed by client on the internet or through library resources or brochures. , Can increase a client’s resistance to applying treatment strategies. , Psychoeducation is the responsibility of the client and should be done outside of sessions. , B ," A is not the most appropriate response. Although psychoeducation relates to specific client topics and illnesses, it is best when it also includes various management technique details. B is the most appropriate response. Psychoeducation relates to specific client topics and illnesses and is best when it involves information as well as various management technique details. Psychologists can tailor psychoeducation information to client needs and learning styles, and thus psychoeducation is generally more effective when presented in this individualised manner versus in a “one-size-fits-all” approach using the internet, books, or even pamphlets. C is not the most appropriate response. Psychoeducation is generally more effective when presented in an individualised manner versus a one-size-fits-all approach using the internet, books, or even pamphlets. D is not the most appropriate response. A primary advantage offered by psychoeducation approaches is that they empower clients to self-treat outside of the therapy context and post cessation of treatment. E is not the most appropriate response. Psychologists should tailor psychoeducation information to client needs and learning styles, and thus psychoeducation is generally more effective when presented in an individualised manner in session. ", Intervention 
